PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
09-550;FUP Gostynin;Szczawin Kościelny;Warszawska;5;Szczawin Kościelny;gostyniński;mazowieckie
09-502;AP Gostynin;Gostynin;Bolesława Prusa;11;Gostynin;gostyniński;mazowieckie
09-501;AP Gostynin;Gostynin;Wojska Polskiego;55;Gostynin;gostyniński;mazowieckie
63-802;AP Gostyń;Gostyń;Górna;44;Gostyń;gostyński;wielkopolskie
63-800;UP Gostyń Poznański 1;Gostyń;Kolejowa;30;Gostyń;gostyński;wielkopolskie
63-810;FUP Gostyń Poznański 1;Borek Wielkopolski;Dworcowa;52;Borek Wielkopolski;gostyński;wielkopolskie
63-815;FUP Gostyń Poznański 1;Gostyń;ks. Jana Twardowskiego;7;Gostyń;gostyński;wielkopolskie
63-814;FUP Gostyń Poznański 1;Gostyń;Władysława Łokietka;2;Gostyń;gostyński;wielkopolskie
63-840;FUP Gostyń Poznański 1;Krobia;Kobylińska;3;Krobia;gostyński;wielkopolskie
63-830;FUP Gostyń Poznański 1;Pępowo;Stanisławy Nadstawek;1a;Pępowo;gostyński;wielkopolskie
63-820;FUP Gostyń Poznański 1;Piaski;rynek Rynek;14;Piaski;gostyński;wielkopolskie
63-860;FUP Gostyń Poznański 1;Pogorzela;Rynek;21;Pogorzela;gostyński;wielkopolskie
64-125;FUP Gostyń Poznański 1;Poniec;Krobska;43;Poniec;gostyński;wielkopolskie
09-132;AP Goszczyce Średnie;Goszczyce Średnie;;18;Baboszewo;płoński;mazowieckie
84-241;AP Gościcino;Gościcino;Cezarego Klimka;1;Wejherowo;wejherowski;pomorskie
23-275;UP Gościeradów;Gościeradów Ukazowy;;55;Gościeradów;kraśnicki;lubelskie
23-235;FUP Gościeradów;Annopol;Rynek;24;Annopol;kraśnicki;lubelskie
23-232;FUP Gościeradów;Trzydnik Duży;;119;Trzydnik Duży;kraśnicki;lubelskie
88-420;AP Gościeszyn;Gościeszyn;;22;Rogowo;żniński;kujawsko-pomorskie
66-542;AP Gościmiec;Gościmiec;;93;Zwierzyn;strzelecko-drezdenecki;lubuskie
59-730;AP Gościszów;Gościszów;;146;Nowogrodziec;bolesławiecki;dolnośląskie
89-651;AP Gotelp;Gotelp;;8;Czersk;chojnicki;pomorskie
83-341;AP Gowidlino;Gowidlino;Kartuska;27;Sierakowice;kartuski;pomorskie
09-216;AP Gójsk;Gójsk;Lipnowska;14A;Szczutowo;sierpecki;mazowieckie
56-203;AP Góra;Góra;Dworcowa;2;Góra;górowski;dolnośląskie
63-234;AP Góra;Góra;Zaleska;3;Jaraczewo;jarociński;wielkopolskie
43-200;AP Góra k. Miedźnej;Góra;Kościelna;29;Miedźna;pszczyński;śląskie
05-530;UP Góra Kalwaria 1;Góra Kalwaria;Kalwaryjska;14;Góra Kalwaria;piaseczyński;mazowieckie
05-532;FUP Góra Kalwaria 1;Baniocha;Graniczna;2;Góra Kalwaria;piaseczyński;mazowieckie
56-200;UP Góra Śląska;Góra;Podwale;33;Góra;górowski;dolnośląskie
56-210;FUP Góra Śląska;Wąsosz;Pocztowa;5;Wąsosz;górowski;dolnośląskie
47-316;AP Górażdże;Górażdże;Fabryczna;2;Gogolin;krapkowicki;opolskie
46-062;AP Górki;Górki;Opolska;9;Prószków;opolski;opolskie
19-506;AP Górne;Górne;;19;Gołdap;gołdapski;warmińsko-mazurskie
36-051;AP Górno;Górno;Centralna;2/8;Sokołów Małopolski;rzeszowski;podkarpackie
49-100;AP Grabin;Grabin;Nyska;42;Niemodlin;opolski;opolskie
36-200;AP Grabownica Starzeńska;Grabownica Starzeńska;;800;Brzozów;brzozowski;podkarpackie
56-416;AP Grabowno Wielkie;Grabowno Wielkie;;56 B;Twardogóra;oleśnicki;dolnośląskie
78-427;AP Grabowo;Grabowo;;53;Biały Bór;szczecinecki;zachodniopomorskie
83-403;AP Grabowo Kościerskie;Grabowo Kościerskie;Osiedlowa;1;Nowa Karczma;kościerski;pomorskie
99-150;UP Grabów k. Łęczycy;Grabów;1 Maja;21;Grabów;łęczycki;łódzkie
99-140;FUP Grabów k. Łęczycy;Świnice Warckie;Świętej Faustyny;5;Świnice Warckie;łęczycki;łódzkie
15-524;AP Grabówka;Grabówka;Górna;10a;Grabówka;białostocki;podlaskie
49-153;AP Gracze;Gracze;Niemodlińska;42;Niemodlin;opolski;opolskie
19-208;AP Grajewo;Grajewo;Wojska Polskiego;46;Grajewo;grajewski;podlaskie
19-200;UP Grajewo 1;Grajewo;Józefa Piłsudskiego;12;Grajewo;grajewski;podlaskie
19-200;FUP Grajewo 1;Grajewo;Ełcka;16;Grajewo;grajewski;podlaskie
19-200;FUP Grajewo 1;Grajewo;Kopernika;26;Grajewo;grajewski;podlaskie
19-203;FUP Grajewo 1;Grajewo;os. Osiedle Południe;28A/1;Grajewo;grajewski;podlaskie
19-215;FUP Grajewo 1;Radziłów;Plac 500-lecia;2;Radziłów;grajewski;podlaskie
19-206;FUP Grajewo 1;Rajgród;Franciszka Zabielskiego;6;Rajgród;grajewski;podlaskie
19-230;FUP Grajewo 1;Szczuczyn;Jana Kilińskiego;61;Szczuczyn;grajewski;podlaskie
83-121;AP Gręblin;Gręblin;;24 A;Pelplin;tczewski;pomorskie
21-401;AP Gręzówka;Gręzówka;Tadeusza Szenejki;1;Łuków;łukowski;lubelskie
37-720;AP Grochowce;Grochowce;;64;Przemyśl;przemyski;podkarpackie
62-570;AP Grochowy;Grochowy;;25;Rychwał;koniński;wielkopolskie
49-200;UP Grodków;Grodków;Warszawska;30;Grodków;brzeski;opolskie
49-201;AP Grodków;Grodków;Sienkiewicza;28;Grodków;brzeski;opolskie
17-315;UP Grodzisk;Grodzisk;Bielska;5;Grodzisk;siemiatycki;podlaskie
17-322;FUP Grodzisk;Perlejewo;;9 A;Perlejewo;siemiatycki;podlaskie
05-321;AP Grodzisk;Grodzisk;Mazowiecka;214;Mrozy;miński;mazowieckie
05-824;AP Grodzisk Mazowiecki;Grodzisk Mazowiecki;J. Montwiłła;47;Grodzisk Mazowiecki;grodziski;mazowieckie
05-825;UP Grodzisk Mazowiecki 1;Grodzisk Mazowiecki;E. Orzeszkowej;2A;Grodzisk Mazowiecki;grodziski;mazowieckie
05-827;FUP Grodzisk Mazowiecki 1;Grodzisk Mazowiecki;1 Maja;2;Grodzisk Mazowiecki;grodziski;mazowieckie
05-826;FUP Grodzisk Mazowiecki 1;Grodzisk Mazowiecki;H. Sienkiewicza;45;Grodzisk Mazowiecki;grodziski;mazowieckie
96-326;FUP Grodzisk Mazowiecki 1;Żabia Wola;Główna;18;Żabia Wola;grodziski;mazowieckie
62-065;UP Grodzisk Wielkopolski;Grodzisk Wielkopolski;Bukowska;2;Grodzisk Wielkopolski;grodziski;wielkopolskie
62-065;FUP Grodzisk Wielkopolski;Granowo;Poznańska;15 A;Granowo;grodziski;wielkopolskie
62-066;FUP Grodzisk Wielkopolski;skrytki/przegródki;;;Granowo;grodziski;wielkopolskie
64-061;FUP Grodzisk Wielkopolski;Kamieniec;1000-lecia Państwa Polskiego;25;Kamieniec;grodziski;wielkopolskie
62-065;AP Grodzisk Wielkopolski;Grodzisk Wielkopolski;Nowotomyska;11;Grodzisk Wielkopolski;grodziski;wielkopolskie
63-303;AP Grodzisko;Grodzisko;;6/A;Pleszew;pleszewski;wielkopolskie
58-100;AP Grodziszcze;Grodziszcze;;67;Świdnica;świdnicki;dolnośląskie
58-262;AP Grodziszcze;Grodziszcze;;68;Stoszowice;ząbkowicki;dolnośląskie
32-591;AP Gromiec;Gromiec;Kolonia;2;Libiąż;chrzanowski;małopolskie
33-180;UP Gromnik;Gromnik;Pogórze;2;Gromnik;tarnowski;małopolskie
33-165;FUP Gromnik;Rzepiennik Strzyżewski;;400;Rzepiennik Strzyżewski;tarnowski;małopolskie
16-040;UP Gródek;Gródek;Aleksandra i Grzegorza Chodkiewiczów;63;Gródek;białostocki;podlaskie
16-050;FUP Gródek;Michałowo;Białostocka;3;Michałowo;białostocki;podlaskie
86-142;AP Gródek;Gródek;Laskowicka;7;Drzycim;świecki;kujawsko-pomorskie
13-206;AP Gródki;Gródki;;46;Płośnica;działdowski;warmińsko-mazurskie
05-600;UP Grójec;Grójec;Aleja Niepodległości;6;Grójec;grójecki;mazowieckie
05-622;FUP Grójec;Belsk Duży;Jana Kozietulskiego;4;Belsk Duży;grójecki;mazowieckie
05-620;FUP Grójec;Błędów;Nowy Rynek;13;Błędów;grójecki;mazowieckie
05-601;FUP Grójec;Grójec;Mogielnicka;28;Grójec;grójecki;mazowieckie
05-600;FUP Grójec;Grójec;Józefa Piłsudskiego;47;Grójec;grójecki;mazowieckie
05-604;FUP Grójec;Jasieniec;Warecka;42;Jasieniec;grójecki;mazowieckie
05-652;FUP Grójec;Pniewy;;2a/4;Pniewy;grójecki;mazowieckie
05-602;AP Grójec;Grójec;Jana Pawła II;26;Grójec;grójecki;mazowieckie
86-300;UP Grudziądz 1;Grudziądz;Sienkiewicza;20;Grudziądz;Grudziądz;kujawsko-pomorskie
86-311;FUP Grudziądz 1;Grudziądz;gen. Józefa Kustronia;26;Grudziądz;Grudziądz;kujawsko-pomorskie
86-304;FUP Grudziądz 1;Grudziądz;Legionów;50;Grudziądz;Grudziądz;kujawsko-pomorskie
86-306;FUP Grudziądz 1;Grudziądz;Ryszarda Milczewskiego-Bruna;3;Grudziądz;Grudziądz;kujawsko-pomorskie
86-308;FUP Grudziądz 1;Grudziądz;Śniadeckich;23;Grudziądz;Grudziądz;kujawsko-pomorskie
86-327;FUP Grudziądz 1;Gruta;;11;Gruta;grudziądzki;kujawsko-pomorskie
86-330;FUP Grudziądz 1;Mełno;;228;Gruta;grudziądzki;kujawsko-pomorskie
86-307;UP Grudziądz 9;Grudziądz;Jackowskiego;43;Grudziądz;Grudziądz;kujawsko-pomorskie
86-302;FUP Grudziądz 9;Grudziądz;Chełmińska;68;Grudziądz;Grudziądz;kujawsko-pomorskie
86-305;FUP Grudziądz 9;Grudziądz;Chopina;31;Grudziądz;Grudziądz;kujawsko-pomorskie
86-301;FUP Grudziądz 9;Grudziądz;Królewska;7;Grudziądz;Grudziądz;kujawsko-pomorskie
86-312;FUP Grudziądz 9;Grudziądz;Łyskowskiego;39-41;Grudziądz;Grudziądz;kujawsko-pomorskie
86-321;FUP Grudziądz 9;Łasin;Radzyńska;19;Łasin;grudziądzki;kujawsko-pomorskie
86-318;FUP Grudziądz 9;Rogóźno;;85;Rogóźno;grudziądzki;kujawsko-pomorskie
86-341;FUP Grudziądz 9;Świecie nad Osą;;1;Świecie nad Osą;grudziądzki;kujawsko-pomorskie
86-309;UP Grudziądz 11;Grudziądz;ks. dr. Władysława Łęgi;15;Grudziądz;Grudziądz;kujawsko-pomorskie
86-303;FUP Grudziądz 11;Grudziądz;Podhalańska;12;Grudziądz;Grudziądz;kujawsko-pomorskie
14-110;AP Grunwald;Grunwald;;14;Grunwald;ostródzki;warmińsko-mazurskie
98-235;AP Gruszczyce;Gruszczyce;;43;Błaszki;sieradzki;łódzkie
33-201;AP Gruszów Wielki;Gruszów Wielki;;209;Dąbrowa Tarnowska;dąbrowski;małopolskie
33-330;UP Grybów;Grybów;Kościuszki;8;Grybów;nowosądecki;małopolskie
33-322;FUP Grybów;Korzenna;;325;Korzenna;nowosądecki;małopolskie
33-331;FUP Grybów;Stróże;;31;Grybów;nowosądecki;małopolskie
33-337;AP Grybów;Grybów;os. Osiedle Biała Wyżna;b/n;Grybów;nowosądecki;małopolskie
72-305;AP Gryfice;Gryfice;Szewska;15;Gryfice;gryficki;zachodniopomorskie
72-300;UP Gryfice 1;Gryfice;Dworcowa;20;Gryfice;gryficki;zachodniopomorskie
72-304;FUP Gryfice 1;Brojce;Długa;45;Brojce;gryficki;zachodniopomorskie
72-302;FUP Gryfice 1;Gryfice;Brzozowa;5;Gryfice;gryficki;zachodniopomorskie
72-343;FUP Gryfice 1;Karnice;Szkolna;1;Karnice;gryficki;zachodniopomorskie
72-330;FUP Gryfice 1;Mrzeżyno;Aleja Tysiąclecia;9;Trzebiatów;gryficki;zachodniopomorskie
72-350;FUP Gryfice 1;Niechorze;Pocztowa;4;Rewal;gryficki;zachodniopomorskie
72-310;FUP Gryfice 1;Płoty;Jedności Narodowej;34;Płoty;gryficki;zachodniopomorskie
72-346;FUP Gryfice 1;Pobierowo;Grunwaldzka;59;Rewal;gryficki;zachodniopomorskie
72-344;FUP Gryfice 1;Rewal;Sikorskiego;3;Rewal;gryficki;zachodniopomorskie
72-320;FUP Gryfice 1;Trzebiatów;Rynek;17;Trzebiatów;gryficki;zachodniopomorskie
74-100;UP Gryfino 1;Gryfino;Sprzymierzonych;2;Gryfino;gryfiński;zachodniopomorskie
74-110;FUP Gryfino 1;Banie;Pocztowa;7;Banie;gryfiński;zachodniopomorskie
74-101;FUP Gryfino 1;Gryfino;11 Listopada;8;Gryfino;gryfiński;zachodniopomorskie
74-100;FUP Gryfino 1;Gryfino;Łużycka;125/2 U;Gryfino;gryfiński;zachodniopomorskie
74-108;FUP Gryfino 1;Stare Czarnowo;Św. Floriana;10;Stare Czarnowo;gryfiński;zachodniopomorskie
74-120;FUP Gryfino 1;Widuchowa;Grunwaldzka;8;Widuchowa;gryfiński;zachodniopomorskie
59-620;UP Gryfów Śląski;Gryfów Śląski;Kolejowa;43;Gryfów Śląski;lwówecki;dolnośląskie
59-623;FUP Gryfów Śląski;Lubomierz;Majowa;4;Lubomierz;lwówecki;dolnośląskie
59-630;FUP Gryfów Śląski;Mirsk;Bohaterów znad Nysy;5;Mirsk;lwówecki;dolnośląskie
59-850;FUP Gryfów Śląski;Świeradów-Zdrój;Marszałka Józefa Piłsudskiego;11;Świeradów-Zdrój;lubański;dolnośląskie
59-620;AP Gryfów Śląski;Gryfów Śląski;rynek Rynek;11;Gryfów Śląski;lwówecki;dolnośląskie
34-450;AP Grywałd;Grywałd;Szkolna;1;Krościenko nad Dunajcem;nowotarski;małopolskie
11-035;AP Gryźliny;Gryźliny;Jana Baczewskiego;11;Stawiguda;olsztyński;warmińsko-mazurskie
64-553;AP Grzebienisko;Grzebienisko;Szkolna;3;Duszniki;szamotulski;wielkopolskie
83-301;AP Grzybno;Grzybno;Długa;18;Kartuzy;kartuski;pomorskie
26-080;AP Grzymałków;Grzymałków;Kościelna;11;Mniów;kielecki;świętokrzyskie
66-620;UP Gubin 1;Gubin;Krasińskiego;2;Gubin;krośnieński;lubuskie
66-635;FUP Gubin 1;Gubin;Kosynierów;16;Gubin;krośnieński;lubuskie
66-620;FUP Gubin 1;Gubin;Kresowa;110;Gubin;krośnieński;lubuskie
64-730;AP Gulcz;Gulcz;Czarnkowska;15;Wieleń;czarnkowsko-trzcianecki;wielkopolskie
62-025;AP Gułtowy;Gułtowy;Kasztanowa;3;Kostrzyn;poznański;wielkopolskie
32-855;AP Gwoździec;Gwoździec;;276;Zakliczyn;tarnowski;małopolskie
17-200;UP Hajnówka;Hajnówka;Aleksego Zina;2;Hajnówka;hajnowski;podlaskie
17-230;FUP Hajnówka;Białowieża;Parkowa;2;Białowieża;hajnowski;podlaskie
17-240;FUP Hajnówka;Czeremcha;Duboisa;13;Czeremcha;hajnowski;podlaskie
17-201;FUP Hajnówka;Hajnówka;Lipowa;73A;Hajnówka;hajnowski;podlaskie
17-250;FUP Hajnówka;Kleszczele;pl. Parkowy;5;Kleszczele;hajnowski;podlaskie
17-210;FUP Hajnówka;Narew;Topolowa;6;Narew;hajnowski;podlaskie
17-220;FUP Hajnówka;Narewka;Adama Mickiewicza;39;Narewka;hajnowski;podlaskie
17-205;FUP Hajnówka;Rzepiska;;31;Hajnówka;hajnowski;podlaskie
17-203;AP Hajnówka;Hajnówka;Wrzosowa;2;Hajnówka;hajnowski;podlaskie
37-413;UP Harasiuki;Harasiuki;Długa;11;Harasiuki;niżański;podkarpackie
38-243;AP Harklowa;Harklowa;;360;Skołyszyn;jasielski;podkarpackie
13-221;AP Hartowiec;Hartowiec;;53;Rybno;działdowski;warmińsko-mazurskie
11-132;AP Henrykowo;Henrykowo;;25;Orneta;lidzbarski;warmińsko-mazurskie
18-212;AP Hodyszewo;Hodyszewo;ppłk. Stefana Platonoffa;26;Nowe Piekuty;wysokomazowiecki;podlaskie
22-424;AP Horyszów Polski;Horyszów Polski;;85;Sitno;zamojski;lubelskie
22-500;UP Hrubieszów;Hrubieszów;Józefa Piłsudskiego;7;Hrubieszów;hrubieszowski;lubelskie
22-540;FUP Hrubieszów;Dołhobyczów;Hallera;10;Dołhobyczów;hrubieszowski;lubelskie
22-523;FUP Hrubieszów;Horodło;Rynek;11;Horodło;hrubieszowski;lubelskie
22-500;FUP Hrubieszów;Hrubieszów;"mjr. Henryka Dobrzańskiego ""Hubala""";5;Hrubieszów;hrubieszowski;lubelskie
22-530;FUP Hrubieszów;Mircze;Kryłowska;33;Mircze;hrubieszowski;lubelskie
22-555;FUP Hrubieszów;Trzeszczany Pierwsze;;194;Trzeszczany;hrubieszowski;lubelskie
22-511;FUP Hrubieszów;Uchanie;Staszica;4;Uchanie;hrubieszowski;lubelskie
22-550;FUP Hrubieszów;Werbkowice;Piłsudskiego Józefa;9;Werbkowice;hrubieszowski;lubelskie
26-068;AP Hucisko;Hucisko;;36a;Strawczyn;kielecki;świętokrzyskie
36-206;AP Humniska;Humniska;;260a;Brzozów;brzozowski;podkarpackie
11-100;AP Ignalin;Ignalin;;8;Lidzbark Warmiński;lidzbarski;warmińsko-mazurskie
16-406;AP Ignatowizna;Ignatowizna;;5;Rutka-Tartak;suwalski;podlaskie
14-203;AP Iława;Iława;Niepodległości;17;Iława;iławski;warmińsko-mazurskie
14-200;AP Iława;Iława;Kardynała Stefana Wyszyńskiego;3;Iława;iławski;warmińsko-mazurskie
14-200;UP Iława 1;Iława;Kazimierza Jagiellończyka;2;Iława;iławski;warmińsko-mazurskie
14-201;FUP Iława 1;Iława;Jarosława Dąbrowskiego;48 A;Iława;iławski;warmińsko-mazurskie
14-210;UP Iława 2;Iława;Dworcowa;1 A;Iława;iławski;warmińsko-mazurskie
14-202;FUP Iława 2;Iława;gen. Leopolda Okulickiego;1;Iława;iławski;warmińsko-mazurskie
14-220;FUP Iława 2;Kisielice;Aleja Wojska Polskiego;7;Kisielice;iławski;warmińsko-mazurskie
14-240;FUP Iława 2;Susz;Słowiańska;24;Susz;iławski;warmińsko-mazurskie
14-230;FUP Iława 2;Zalewo;Sienkiewicza;3;Zalewo;iławski;warmińsko-mazurskie
68-122;AP Iłowa;Iłowa;Żagańska;63 A;Iłowa;żagański;lubuskie
68-120;UP Iłowa k. Żagania;Iłowa;Kolejowa;3A;Iłowa;żagański;lubuskie
68-130;FUP Iłowa k. Żagania;Gozdnica;Ceramików;10;Gozdnica;żagański;lubuskie
68-132;FUP Iłowa k. Żagania;Przewóz;Pocztowa;6;Przewóz;żarski;lubuskie
68-131;FUP Iłowa k. Żagania;Wymiarki;Księcia Witolda;26;Wymiarki;żagański;lubuskie
27-100;UP Iłża;Iłża;os. Zuchowiec;1;Iłża;radomski;mazowieckie
27-100;FUP Iłża;Iłża;Rynek;12;Iłża;radomski;mazowieckie
88-100;UP Inowrocław 1;Inowrocław;Królowej Jadwigi;29;Inowrocław;inowrocławski;kujawsko-pomorskie
88-133;FUP Inowrocław 1;Dąbrowa Biskupia;Długa;53;Dąbrowa Biskupia;inowrocławski;kujawsko-pomorskie
88-140;FUP Inowrocław 1;Gniewkowo;Dworcowa;6;Gniewkowo;inowrocławski;kujawsko-pomorskie
88-103;FUP Inowrocław 1;Inowrocław;Aleje Mikołaja Kopernika;8A;Inowrocław;inowrocławski;kujawsko-pomorskie
88-115;FUP Inowrocław 1;Inowrocław;Bolesława Krzywoustego;23;Inowrocław;inowrocławski;kujawsko-pomorskie
88-104;FUP Inowrocław 1;Inowrocław;Cegielna;14-16;Inowrocław;inowrocławski;kujawsko-pomorskie
88-100;FUP Inowrocław 1;Inowrocław;Poznańska;97;Inowrocław;inowrocławski;kujawsko-pomorskie
88-108;FUP Inowrocław 1;Inowrocław;al. Ratuszowa;36/38;Inowrocław;inowrocławski;kujawsko-pomorskie
88-107;FUP Inowrocław 1;Inowrocław;Solankowa;77;Inowrocław;inowrocławski;kujawsko-pomorskie
88-105;FUP Inowrocław 1;Inowrocław;Toruńska;60;Inowrocław;inowrocławski;kujawsko-pomorskie
88-180;FUP Inowrocław 1;Złotniki Kujawskie;Dworcowa;5;Złotniki Kujawskie;inowrocławski;kujawsko-pomorskie
88-110;UP Inowrocław 2;Inowrocław;Dworcowa;111;Inowrocław;inowrocławski;kujawsko-pomorskie
88-102;FUP Inowrocław 2;Inowrocław;Dojazdowa;1;Inowrocław;inowrocławski;kujawsko-pomorskie
88-109;FUP Inowrocław 2;Inowrocław;Wojska Polskiego;16;Inowrocław;inowrocławski;kujawsko-pomorskie
88-160;FUP Inowrocław 2;Janikowo;Dworcowa;9;Janikowo;inowrocławski;kujawsko-pomorskie
88-111;FUP Inowrocław 2;Rojewo;;118;Rojewo;inowrocławski;kujawsko-pomorskie
88-106;UP Inowrocław 11;Inowrocław;Emilii Plater;8;Inowrocław;inowrocławski;kujawsko-pomorskie
88-101;FUP Inowrocław 11;Inowrocław;Poznańska;336;Inowrocław;inowrocławski;kujawsko-pomorskie
43-470;UP Istebna;Istebna;;1000;Istebna;cieszyński;śląskie
43-476;FUP Istebna;Jaworzynka;;366;Istebna;cieszyński;śląskie
62-862;AP Iwanowice;Iwanowice;Plac ks. Augustyna Kordeckiego;14;Szczytniki;kaliski;wielkopolskie
32-095;UP Iwanowice Włościańskie;Iwanowice Włościańskie;Jurajska;2;Iwanowice;krakowski;małopolskie
32-091;FUP Iwanowice Włościańskie;Michałowice;Krakowska;154;Michałowice;krakowski;małopolskie
32-043;FUP Iwanowice Włościańskie;Skała;Kościelna;3;Skała;krakowski;małopolskie
32-092;FUP Iwanowice Włościańskie;Słomniki;Tadeusza Kościuszki;58;Słomniki;krakowski;małopolskie
32-077;FUP Iwanowice Włościańskie;Smardzowice;Krakowska;3;Skała;krakowski;małopolskie
32-045;FUP Iwanowice Włościańskie;Sułoszowa;Krakowska;139;Sułoszowa;krakowski;małopolskie
38-442;AP Iwonicz;Iwonicz;Floriańska;92A;Iwonicz-Zdrój;krośnieński;podkarpackie
34-480;UP Jabłonka;Jabłonka;Sobieskiego;30;Jabłonka;nowotarski;małopolskie
34-483;FUP Jabłonka;Lipnica Wielka;;567;Lipnica Wielka;nowotarski;małopolskie
18-200;AP Jabłonka Kościelna;Jabłonka Kościelna;;8;Wysokie Mazowieckie;wysokomazowiecki;podlaskie
64-308;AP Jabłonna;Jabłonna;Kościelna;52;Rakoniewice;grodziski;wielkopolskie
87-330;UP Jabłonowo Pomorskie;Jabłonowo Pomorskie;Kolejowa;2;Jabłonowo Pomorskie;brodnicki;kujawsko-pomorskie
83-211;AP Jabłowo;Jabłowo;Nad Jeziorem;3A;Starogard Gdański;starogardzki;pomorskie
38-530;AP Jaćmierz;Jaćmierz;Rynek;9;Zarszyn;sanocki;podkarpackie
39-400;AP Jadachy;Jadachy;;k.167;Nowa Dęba;tarnobrzeski;podkarpackie
88-400;AP Jadowniki k. Żnina;Jadowniki Rycerskie;;54;Żnin;żniński;kujawsko-pomorskie
59-941;AP Jagodzin;Jagodzin;;69;Węgliniec;zgorzelecki;dolnośląskie
26-231;AP Jakimowice-Kolonia;Jakimowice-Kolonia;;3 C;Radoszyce;konecki;świętokrzyskie
16-050;AP Jałówka;Jałówka;Rynek;5;Michałowo;białostocki;podlaskie
13-332;AP Jamielnik;Jamielnik;Nowomiejska;8;Bratian;nowomiejski;warmińsko-mazurskie
16-310;AP Jaminy;Jaminy;;49;Sztabin;augustowski;podlaskie
86-183;AP Jania Góra;Jania Góra;;1;Świekatowo;świecki;kujawsko-pomorskie
98-330;AP Janki;Janki;;80A ;Pajęczno;pajęczański;łódzkie
43-200;AP Jankowice;Jankowice;Żubrów;46;Pszczyna;pszczyński;śląskie
33-115;AP Janowice;Janowice;;187;Pleśna;tarnowski;małopolskie
82-506;AP Janowo;Janowo;;34;Kwidzyn;kwidzyński;pomorskie
42-253;UP Janów;Janów;Żarecka;1;Janów;częstochowski;śląskie
42-256;FUP Janów;Olsztyn;Plac im. marszałka Józefa Piłsudskiego;10;Olsztyn;częstochowski;śląskie
42-248;FUP Janów;Przyrów;Częstochowska;7;Przyrów;częstochowski;śląskie
23-300;UP Janów Lubelski;Janów Lubelski;Jana Zamoyskiego;39;Janów Lubelski;janowski;lubelskie
23-320;FUP Janów Lubelski;Batorz Pierwszy;;50;Batorz;janowski;lubelskie
23-305;FUP Janów Lubelski;Chrzanów (Chrzanów Trzeci);;111 B;Chrzanów;janowski;lubelskie
23-304;FUP Janów Lubelski;Dzwola;;121A;Dzwola;janowski;lubelskie
23-302;FUP Janów Lubelski;Godziszów Trzeci;;123A/1;Godziszów;janowski;lubelskie
23-311;FUP Janów Lubelski;Modliborzyce;Józefa Piłsudskiego;48;Modliborzyce;janowski;lubelskie
23-313;FUP Janów Lubelski;Potok Wielki;;106;Potok Wielki;janowski;lubelskie
16-300;AP Janówka;Janówka;;60;Augustów;augustowski;podlaskie
63-200;UP Jarocin Poznański 1;Jarocin;Aleja Niepodległości;13;Jarocin;jarociński;wielkopolskie
63-233;FUP Jarocin Poznański 1;Jaraczewo;Kolejowa;18;Jaraczewo;jarociński;wielkopolskie
63-200;FUP Jarocin Poznański 1;Jarocin;os. Osiedle Konstytucji 3 Maja;31;Jarocin;jarociński;wielkopolskie
63-200;FUP Jarocin Poznański 1;Jarocin;Świętego Ducha;32;Jarocin;jarociński;wielkopolskie
63-220;FUP Jarocin Poznański 1;Kotlin;Dworcowa;7;Kotlin;jarociński;wielkopolskie
63-210;FUP Jarocin Poznański 1;Żerków;Adama Mickiewicza;8;Żerków;jarociński;wielkopolskie
37-503;AP Jarosław;Jarosław;Hetmana Jana Tarnowskiego;18A;Jarosław;jarosławski;podkarpackie
37-500;UP Jarosław 1;Jarosław;im. Jana Pawła II;10;Jarosław;jarosławski;podkarpackie
37-561;FUP Jarosław 1;Chłopice;;149 A;Chłopice;jarosławski;podkarpackie
37-501;FUP Jarosław 1;Jarosław;os. Osiedle im. Armii Krajowej;21;Jarosław;jarosławski;podkarpackie
37-504;FUP Jarosław 1;Jarosław;os. Osiedle Mikołaja Kopernika;5;Jarosław;jarosławski;podkarpackie
37-505;FUP Jarosław 1;Jarosław;Juliusza Słowackiego;34;Jarosław;jarosławski;podkarpackie
37-506;FUP Jarosław 1;Pawłosiów;;10;Pawłosiów;jarosławski;podkarpackie
37-560;FUP Jarosław 1;Pruchnik;Jana Pawła II;1;Pruchnik;jarosławski;podkarpackie
37-562;FUP Jarosław 1;Rokietnica;;626;Rokietnica;jarosławski;podkarpackie
37-565;FUP Jarosław 1;Roźwienica;;62;Roźwienica;jarosławski;podkarpackie
37-524;FUP Jarosław 1;Wiązownica;Warszawska;17A;Wiązownica;jarosławski;podkarpackie
43-385;UP Jasienica;Jasienica;Strumieńska;70;Jasienica;bielski;śląskie
43-384;FUP Jasienica;Jaworze;Cieszyńska;174;Jaworze;bielski;śląskie
43-385;FUP Jasienica;Świętoszówka;Bielska;84a;Jasienica;bielski;śląskie
43-386;FUP Jasienica;skrytki/przegródki;;;Jasienica;bielski;śląskie
36-213;AP Jasionów;Jasionów;;17;Haczów;brzozowski;podkarpackie
38-202;AP Jasło;Jasło;Kazimierza Wielkiego;22;Jasło;jasielski;podkarpackie
38-200;AP Jasło;Jasło;Rafineryjna;3b;Jasło;jasielski;podkarpackie
38-200;UP Jasło 1;Jasło;3 Maja;4;Jasło;jasielski;podkarpackie
